pref,city,pop,A2_car,A3_public,A4_walk_bike,A6,B1,B2,B3,B4,C1_park_area,D1,D3,PC1_A,PC1_B,PC1_C,PC1_D,GSRPI,GSRPI_rank,cluster,cluster_name,cluster_k2,cluster_k3,cluster_k4,cluster_k5,cluster_k6,cluster_k7,cluster_k8
神奈川県,海老名市,139653,27.5,40.2,20.7,21.8,2.6,44.0,20.5,32.0,1.0,92.0,275.0,1.0906979805782082,1.6602828927537974,-1.7127519486623155,0.24737234198905886,0.3214003166646872,22,1,高アクセス/暑熱耐性・低緑型,1,2,2,0,1,3,0
神奈川県,川崎市,1538262,25.1,43.0,21.8,21.0,4.2,49.8,25.0,33.0,2.22,99.2,165.0,1.4085812982592318,-0.7795150248865564,-1.2500782471336926,1.5120586466845214,0.22276166823087604,23,1,高アクセス/暑熱耐性・低緑型,1,0,0,2,4,5,6
千葉県,市川市,496676,41.7,27.4,15.5,22.8,3.5,47.0,22.5,32.5,3.26,98.5,175.0,-0.12092365817499455,0.4468147063240168,-0.8556678786174898,1.3946276248130252,0.2162126985861394,24,1,高アクセス/暑熱耐性・低緑型,1,0,0,2,4,0,6
千葉県,流山市,199849,45.9,28.9,15.6,21.5,4.0,48.5,23.0,32.8,6.24,92.0,215.0,-0.02405715690465913,-0.11803605115322235,0.2744695234770152,0.7246970117336682,0.21426833178820048,25,1,高アクセス/暑熱耐性・低緑型,1,0,0,2,4,0,6
埼玉県,草加市,249899,41.4,32.7,14.1,23.8,4.5,49.5,23.8,33.1,5.95,98.0,195.0,0.0005650460668674618,-0.6669715867715069,0.1644897091792278,1.2084644656738257,0.1766369085371035,26,1,高アクセス/暑熱耐性・低緑型,1,0,0,2,4,0,6
千葉県,船橋市,642907,42.5,30.0,17.8,23.2,3.8,47.5,23.0,32.6,4.0,96.5,195.0,-0.08195821499715293,0.17468053154122043,-0.5750297317886529,1.1272996580008372,0.16124806068906294,27,1,高アクセス/暑熱耐性・低緑型,1,0,0,2,4,0,6
神奈川県,小田原市,189053,32.7,38.8,16.9,29.8,2.2,42.5,19.8,31.6,4.09,78.0,335.0,-0.21550823962377488,2.2957115258109777,-0.5408980652824431,-0.9874905327034443,0.13795367205032885,28,1,高アクセス/暑熱耐性・低緑型,1,2,2,0,1,3,0
神奈川県,厚木市,224420,31.1,34.7,17.6,23.5,3.2,46.0,22.0,32.5,4.91,82.0,320.0,0.4876322626002556,0.724980828531638,-0.22992065933697522,-0.6517198781393223,0.08274313841389905,29,1,高アクセス/暑熱耐性・低緑型,1,0,0,0,1,3,0
埼玉県,所沢市,342464,42.6,24.8,17.3,25.8,3.6,47.5,22.0,32.6,6.08,90.0,265.0,-0.670053776025971,0.3828447768858557,0.21379100524375316,0.21870671004917558,0.03632217903820335,30,1,高アクセス/暑熱耐性・低緑型,1,0,0,2,4,0,6
東京都,青梅市,132626,14.9,47.9,20.9,30.5,3.0,47.0,21.0,32.6,3.81,72.0,258.0,0.7241717997280834,0.7431323042879088,-0.6470854721906515,-0.6995831038898167,0.030158881983881003,31,1,高アクセス/暑熱耐性・低緑型,1,0,0,0,1,3,0
神奈川県,相模原市,725493,26.5,41.8,20.2,25.5,3.8,48.2,23.5,32.8,4.24,85.0,285.0,0.707439071291897,-0.11782794813313666,-0.48401195443875983,-0.21095087210898958,-0.026337925847247277,32,1,高アクセス/暑熱耐性・低緑型,1,0,0,2,4,0,6
埼玉県,入間市,147080,45.9,30.3,17.0,27.0,3.8,48.0,22.5,32.7,8.48,78.0,335.0,-0.6900571880145091,0.13240436286631463,1.1239687787426833,-0.9874905327034443,-0.10529364477723888,33,0,高緑・低アクセス/暑熱耐性型,0,0,3,4,3,1,4
埼玉県,狭山市,149858,43.4,25.5,16.7,28.0,4.0,48.5,23.0,32.8,8.36,82.5,310.0,-0.9575956525847439,-0.11803605115322235,1.0784598900677365,-0.5451108306242245,-0.13557066107361354,34,0,高緑・低アクセス/暑熱耐性型,0,0,3,4,3,1,4
埼玉県,越谷市,341621,42.8,29.6,17.8,24.0,5.0,50.5,24.5,33.3,6.38,92.0,245.0,-0.21696014665760185,-1.1401131584284028,0.32756322693111933,0.48603467686136353,-0.13586885032338047,35,1,高アクセス/暑熱耐性・低緑型,1,0,0,2,4,0,1
